operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,execution.keys,execution.corr,date,frameRate,expName,session,participant,
,,,,,,,,"('TIMES', 'INCREASE', 'THIRD', 'DOUBLE', 'x', 'y')",increase,4,"(6, 2, 3, 9)",9,9,3,3,third,TIMES,double,BUUUxy,,,,,0,8,8,11,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('THIRD', 'ADD', 'x', 'y')",ADD,2,"(9, 3)",3,3,5,4,0,third,0,UBxy,,,,,0,9,9,2,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'x', 'y')",decrease,3,"(25, 24, 8)",8,8,5,5,TIMES,third,0,UUBxy,,,,,0,10,10,8,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('THIRD', 'ADD', 'INCREASE', 'x', 'y')",ADD,3,"(8, 15, 5)",5,5,7,7,increase,third,0,UBUxy,,,,,0,11,11,6,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'DECREASE', 'x', 'y')",half,4,"(1, 4, 2, 6)",6,6,3,2,ADD,triple,decrease,UUBUxy,,,,,0,12,12,15,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('TIMES', 'THIRD', 'HALF', 'x', 'y')",third,3,"(3, 1, 5)",5,5,5,6,half,TIMES,0,BUUxy,,,,,0,13,13,5,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('TIMES', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(4, 3, 9)",9,9,3,8,half,TIMES,0,BUUxy,,,,,0,14,14,4,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 3, 4)",4,4,6,3,triple,increase,double,UBUUxy,,,,,0,15,15,12,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('SUBTRACT', 'HALF', 'INCREASE', 'TRIPLE', 'x', 'y')",half,4,"(15, 16, 8, 3)",3,3,5,5,increase,SUBTRACT,triple,BUUUxy,,,,,0,16,16,10,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'TIMES', 'x', 'y')",decrease,4,"(6, 3, 2, 6)",6,6,2,3,half,triple,TIMES,UUUBxy,,,,,0,17,17,17,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
