operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('THIRD', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(3, 15, 5)",5,5,5,4,decrease,third,0,UBUxy,,,,,0,15,15,7,,,,,,space,9,0,7.34778934091,13.5273336271,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('SUBTRACT', 'HALF', 'INCREASE', 'TRIPLE', 'x', 'y')",half,4,"(15, 16, 8, 3)",3,3,5,5,increase,SUBTRACT,triple,BUUUxy,,,,,0,16,16,10,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 3, 4)",4,4,6,3,triple,increase,double,UBUUxy,,,,,0,17,17,12,,,,,,space,3,0,5.64616751083,10.757477906,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'ADD', 'THIRD', 'HALF', 'x', 'y')",ADD,4,"(3, 1, 7, 6)",6,6,6,6,third,decrease,half,UBUUxy,,,,,0,0,0,12,,,,,,space,9,0,10.1594099076,7.1456791385,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DIVIDE', 'DECREASE', 'x', 'y')",decrease,2,"(8, 2)",2,2,4,9,0,DIVIDE,0,BUxy,,,,,0,1,1,1,,,,,,space,None,0,4.86843098972,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'HALF', 'THIRD', 'TIMES', 'x', 'y')",half,4,"(12, 4, 2, 3)",3,3,4,3,third,increase,TIMES,UUUBxy,,,,,0,2,2,16,,,,,,space,8,0,12.3483062352,18.2600832,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(18, 6, 5, 9)",9,9,4,9,third,ADD,double,BUUUxy,,,,,0,3,3,10,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'THIRD', 'ADD', 'x', 'y')",third,3,"(9, 3, 6)",6,6,4,5,ADD,double,0,UUBxy,,,,,0,4,4,8,,,,,,space,6,1,8.80140026897,8.80793126462,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('ADD', 'DECREASE', 'x', 'y')",decrease,2,"(2, 7)",7,7,5,3,0,ADD,0,BUxy,,,,,0,5,5,0,,,,,,space,3,0,7.44354601357,10.2147074438,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",SUBTRACT,3,"(4, 1, 2)",2,2,3,3,increase,double,0,UBUxy,,,,,0,6,6,6,,,,,,space,9,0,14.8009841639,17.2721320506,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(1, 2, 7)",7,7,5,2,decrease,ADD,0,BUUxy,,,,,0,7,7,4,,,,,,space,9,0,8.63034851692,8.6584571354,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'TRIPLE', 'SUBTRACT', 'DOUBLE', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,3,3,SUBTRACT,decrease,double,UUBUxy,,,,,0,8,8,15,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('HALF', 'ADD', 'x', 'y')",ADD,2,"(12, 6)",6,6,8,4,0,half,0,UBxy,,,,,0,9,9,3,,,,,,space,6,1,3.7622216444,4.43802535898,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('HALF', 'INCREASE', 'TIMES', 'x', 'y')",increase,3,"(9, 10, 5)",5,5,3,3,TIMES,half,0,UUBxy,,,,,0,10,10,9,,,,,,space,9,0,12.017366877,9.0667657993,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'x', 'y')",ADD,3,"(1, 4, 5)",5,5,3,2,half,increase,0,UBUxy,,,,,0,11,11,7,,,,,,space,8,0,9.10943774715,9.79513279493,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'SUBTRACT', 'DOUBLE', 'THIRD', 'x', 'y')",SUBTRACT,4,"(3, 6, 4, 3)",3,3,2,9,double,decrease,third,UBUUxy,,,,,0,12,12,13,,,,,,space,None,0,14.3557471327,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'TIMES', 'x', 'y')",TIMES,2,"(9, 8)",8,8,3,3,0,decrease,0,UBxy,,,,,0,13,13,2,,,,,,space,3,0,3.18116181171,9.4467306701,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('ADD', 'TRIPLE', 'DOUBLE', 'DECREASE', 'x', 'y')",triple,4,"(1, 2, 6, 8)",8,8,2,2,double,ADD,decrease,BUUUxy,,,,,0,14,14,11,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('ADD', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(2, 6, 8)",8,8,2,4,half,ADD,0,BUUxy,,,,,0,15,15,5,,,,,,space,8,1,3.08651521933,4.69342011465,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",double,4,"(1, 3, 6, 5)",5,5,3,3,TIMES,decrease,third,UUBUxy,,,,,0,16,16,14,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'HALF', 'INCREASE', 'SUBTRACT', 'x', 'y')",half,4,"(5, 6, 3, 1)",1,1,2,7,increase,third,SUBTRACT,UUUBxy,,,,,0,17,17,17,,,,,,space,5,0,9.00348037465,11.6523621927,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'TRIPLE', 'DECREASE', 'x', 'y')",double,4,"(2, 6, 12, 8)",8,8,4,3,triple,SUBTRACT,decrease,BUUUxy,,,,,0,0,0,10,,,,,,space,9,0,15.0042334934,8.63032891903,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",triple,4,"(1, 2, 6, 3)",3,3,2,3,increase,half,SUBTRACT,UUUBxy,,,,,0,1,1,17,,,,,,space,6,0,15.5723293243,18.0720554788,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'x', 'y')",TIMES,3,"(3, 18, 6)",6,6,6,6,half,third,0,UBUxy,,,,,0,2,2,7,,,,,,space,3,0,2.16512234155,16.9162477327,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(3, 1)",1,1,2,6,0,third,0,UBxy,,,,,0,3,3,3,,,,,,space,9,0,3.2048539065,3.12654250239,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'SUBTRACT', 'x', 'y')",triple,4,"(4, 2, 6, 5)",5,5,2,6,half,decrease,SUBTRACT,UUUBxy,,,,,0,4,4,16,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'THIRD', 'TIMES', 'x', 'y')",third,3,"(12, 4, 8)",8,8,6,2,TIMES,double,0,UUBxy,,,,,0,5,5,9,,,,,,space,6,0,3.90406099703,11.4273735578,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,5,increase,TIMES,0,BUUxy,,,,,0,6,6,5,,,,,,space,8,0,7.82985535009,11.7503953699,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'DECREASE', 'ADD', 'x', 'y')",decrease,3,"(4, 3, 6)",6,6,2,2,ADD,double,0,UUBxy,,,,,0,7,7,8,,,,,,space,4,0,8.44879474748,7.27052012441,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TIMES', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,2,2,0,TIMES,0,BUxy,,,,,0,8,8,1,,,,,,space,8,1,10.9786568519,2.59993364716,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'TRIPLE', 'INCREASE', 'x', 'y')",DIVIDE,4,"(5, 15, 3, 6)",6,6,5,4,triple,double,increase,UBUUxy,,,,,0,9,9,12,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 4)",4,4,3,6,0,increase,0,UBxy,,,,,0,10,10,2,,,,,,space,9,0,3.32126080203,10.8521864417,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'TRIPLE', 'x', 'y')",ADD,4,"(6, 3, 6, 7)",7,7,3,2,half,increase,triple,UBUUxy,,,,,0,11,11,13,,,,,,space,None,0,12.40417246,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'HALF', 'x', 'y')",decrease,4,"(4, 16, 15, 5)",5,5,4,8,TIMES,third,half,UUBUxy,,,,,0,12,12,15,,,,,,space,None,0,17.659415682,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'DOUBLE', 'x', 'y')",triple,4,"(4, 3, 9, 1)",1,1,8,2,decrease,SUBTRACT,double,BUUUxy,,,,,0,13,13,11,,,,,,space,2,0,8.87239816185,9.44648814625,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'DIVIDE', 'DECREASE', 'x', 'y')",DIVIDE,3,"(6, 3, 1)",1,1,2,7,decrease,third,0,UBUxy,,,,,0,14,14,6,,,,,,space,9,0,8.73918852852,17.7658609019,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DIVIDE', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,3,9,0,DIVIDE,0,BUxy,,,,,0,15,15,0,,,,,,space,None,0,3.9847668429,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(4, 12, 3)",3,3,9,5,decrease,SUBTRACT,0,BUUxy,,,,,0,16,16,4,,,,,,space,6,0,16.857227648,11.3170402572,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'DOUBLE', 'x', 'y')",triple,4,"(6, 2, 6, 5)",5,5,3,3,DIVIDE,decrease,double,UUBUxy,,,,,0,17,17,14,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,0,0,14,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,1,1,12,,,,,,space,6,0,13.9764699377,12.3244129121,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'DIVIDE', 'DECREASE', 'x', 'y')",triple,4,"(8, 1, 3, 6)",6,6,8,9,DIVIDE,double,decrease,UUBUxy,,,,,0,2,2,15,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('SUBTRACT', 'HALF', 'TRIPLE', 'x', 'y')",half,3,"(12, 6, 2)",2,2,4,4,triple,SUBTRACT,0,BUUxy,,,,,0,3,3,5,,,,,,space,2,1,4.67401575739,6.21122531935,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,4,4,13,,,,,,space,7,1,12.0377462291,17.9103309208,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,5,5,6,,,,,,space,2,0,10.7907103219,9.68252054017,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DIVIDE', 'INCREASE', 'DOUBLE', 'THIRD', 'x', 'y')",increase,4,"(2, 4, 5, 1)",1,1,5,6,double,DIVIDE,third,BUUUxy,,,,,0,6,6,11,,,,,,space,None,0,18.1322234397,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'DIVIDE', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,8,triple,decrease,DIVIDE,UUUBxy,,,,,0,7,7,16,,,,,,space,None,0,18.5064170829,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,8,8,8,,,,,,space,6,0,10.0745720574,9.80255129484,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'x', 'y')",double,2,"(12, 2)",2,2,6,6,0,DIVIDE,0,BUxy,,,,,0,9,9,1,,,,,,space,2,1,6.78595293498,7.51269260611,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,10,10,0,,,,,,space,8,1,6.7866490099,3.94359273353,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,11,11,17,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,12,12,4,,,,,,space,9,0,5.14990003327,19.7969847952,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'DIVIDE', 'THIRD', 'x', 'y')",DIVIDE,3,"(3, 1, 2)",2,2,3,9,third,increase,0,UBUxy,,,,,0,13,13,7,,,,,,space,None,0,10.6002923585,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('ADD', 'THIRD', 'INCREASE', 'HALF', 'x', 'y')",third,4,"(2, 3, 1, 7)",7,7,6,4,increase,ADD,half,BUUUxy,,,,,0,14,14,10,,,,,,space,6,0,9.25400960505,10.1845788432,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(1, 2)",2,2,7,8,0,double,0,UBxy,,,,,0,15,15,2,,,,,,space,2,1,7.08966487963,3.50920418232,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,16,16,9,,,,,,space,6,1,4.25879603885,4.53214140855,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,17,17,3,,,,,,space,8,1,2.37455760397,6.5490988297,2017_Apr_14_0954,None,KRITL,001,31032,
