operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_execution.rt,practice_encoding.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('HALF', 'ADD', 'x', 'y')",ADD,2,"(12, 6)",6,6,8,4,0,half,0,UBxy,,,,,0,13,13,3,,,,,,space,3.46065378073,6,1,1.65478657302,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'ADD', 'THIRD', 'HALF', 'x', 'y')",ADD,4,"(3, 1, 7, 6)",6,6,6,6,third,decrease,half,UBUUxy,,,,,0,14,14,12,,,,,,space,14.9950963117,6,1,5.57189492276,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('HALF', 'INCREASE', 'TIMES', 'x', 'y')",increase,3,"(9, 10, 5)",5,5,3,3,TIMES,half,0,UUBxy,,,,,0,15,15,9,,,,,,space,5.87597539194,5,1,1.98770193337,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'HALF', 'THIRD', 'TIMES', 'x', 'y')",half,4,"(12, 4, 2, 3)",3,3,4,3,third,increase,TIMES,UUUBxy,,,,,0,16,16,16,,,,,,space,5.85590218659,3,1,5.08272191789,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'DECREASE', 'x', 'y')",decrease,2,"(8, 2)",2,2,4,9,0,DIVIDE,0,BUxy,,,,,0,17,17,1,,,,,,space,9.74347011885,2,1,1.64240801474,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(2, 1, 3)",3,3,2,4,DIVIDE,triple,0,UUBxy,,,,,0,0,0,9,,,,,,space,7.05369314714,1,0,5.73260970216,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'DECREASE', 'x', 'y')",half,4,"(1, 4, 2, 6)",6,6,3,2,ADD,triple,decrease,UUBUxy,,,,,0,1,1,15,,,,,,space,19.6534742099,None,0,,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'TIMES', 'x', 'y')",decrease,4,"(6, 3, 2, 6)",6,6,2,3,half,triple,TIMES,UUUBxy,,,,,0,2,2,17,,,,,,space,14.11557194,2,0,12.9956223068,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'THIRD', 'HALF', 'x', 'y')",third,3,"(3, 1, 5)",5,5,5,6,half,TIMES,0,BUUxy,,,,,0,3,3,5,,,,,,space,9.20296972012,5,1,3.76869898615,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(4, 3, 9)",9,9,3,8,half,TIMES,0,BUUxy,,,,,0,4,4,4,,,,,,space,4.97706724307,9,1,2.85204873863,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",SUBTRACT,4,"(2, 4, 1, 3)",3,3,3,3,double,triple,decrease,UBUUxy,,,,,0,5,5,13,,,,,,space,13.0958137017,3,1,5.09416327404,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'INCREASE', 'x', 'y')",increase,2,"(3, 6)",6,6,2,2,0,TIMES,0,BUxy,,,,,0,6,6,1,,,,,,space,2.9174250667,6,1,3.3173426853,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'ADD', 'INCREASE', 'x', 'y')",ADD,3,"(8, 15, 5)",5,5,7,7,increase,third,0,UBUxy,,,,,0,7,7,6,,,,,,space,7.95516652847,5,1,5.76906294818,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'HALF', 'INCREASE', 'TRIPLE', 'x', 'y')",half,4,"(15, 16, 8, 3)",3,3,5,5,increase,SUBTRACT,triple,BUUUxy,,,,,0,8,8,10,,,,,,space,8.46693842497,3,1,7.36563659576,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 3, 4)",4,4,6,3,triple,increase,double,UBUUxy,,,,,0,9,9,12,,,,,,space,5.87755897676,4,1,8.22737512342,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 1)",1,1,2,5,0,third,0,UBxy,,,,,0,10,10,3,,,,,,space,2.83557385788,1,1,1.65502279834,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'INCREASE', 'x', 'y')",double,4,"(10, 12, 24, 8)",8,8,2,9,ADD,third,increase,UUBUxy,,,,,0,11,11,14,,,,,,space,10.357584986,8,1,6.69764835038,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(3, 15, 5)",5,5,5,4,decrease,third,0,UBUxy,,,,,0,12,12,7,,,,,,space,8.97776647017,5,1,7.27077059506,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'INCREASE', 'THIRD', 'DOUBLE', 'x', 'y')",increase,4,"(6, 2, 3, 9)",9,9,3,3,third,TIMES,double,BUUUxy,,,,,0,13,13,11,,,,,,space,18.2716378046,9,1,5.52852499846,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'x', 'y')",decrease,3,"(25, 24, 8)",8,8,5,5,TIMES,third,0,UUBxy,,,,,0,14,14,8,,,,,,space,6.00328965671,8,1,4.37338688713,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'DECREASE', 'x', 'y')",decrease,2,"(2, 4)",4,4,2,3,0,TIMES,0,BUxy,,,,,0,15,15,0,,,,,,space,6.88981854741,4,1,1.57004886551,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'DIVIDE', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,half,third,DIVIDE,UUUBxy,,,,,0,16,16,16,,,,,,space,9.9115624784,4,0,3.41204805276,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'ADD', 'x', 'y')",ADD,2,"(9, 3)",3,3,5,4,0,third,0,UBxy,,,,,0,17,17,2,,,,,,space,2.45380639529,3,1,1.415035691,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(2, 6)",6,6,6,8,0,triple,0,UBxy,,,,,0,0,0,3,,,,,,space,6.43577627675,6,1,1.68690552143,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'ADD', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,2,triple,decrease,ADD,UUUBxy,,,,,0,1,1,16,,,,,,space,6.50460044493,6,0,10.9002835054,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(8, 16, 7)",7,7,9,9,decrease,SUBTRACT,0,BUUxy,,,,,0,2,2,5,,,,,,space,6.4959423485,9,0,6.93098825135,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'DIVIDE', 'HALF', 'x', 'y')",DIVIDE,3,"(2, 1, 2)",2,2,2,4,half,increase,0,UBUxy,,,,,0,3,3,7,,,,,,space,4.10184567247,2,1,4.53070527094,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(4, 2, 1)",1,1,2,8,DIVIDE,decrease,0,UUBxy,,,,,0,4,4,8,,,,,,space,3.63289740717,1,1,5.99597611988,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(3, 2, 6)",6,6,4,6,half,ADD,0,BUUxy,,,,,0,5,5,4,,,,,,space,6.4805541042,6,1,3.79879409587,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 2, 1)",1,1,9,3,triple,decrease,double,UBUUxy,,,,,0,6,6,12,,,,,,space,8.58106711565,1,1,4.51380973391,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'HALF', 'TIMES', 'TRIPLE', 'x', 'y')",half,4,"(6, 12, 6, 7)",7,7,2,2,TIMES,increase,triple,UUBUxy,,,,,0,7,7,14,,,,,,space,7.49359689315,3,0,8.8203238491,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 2, 1, 2)",2,2,2,3,third,TIMES,double,BUUUxy,,,,,0,8,8,11,,,,,,space,12.5015543628,2,1,4.5047138331,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(12, 4, 3, 1)",1,1,3,6,third,DIVIDE,double,BUUUxy,,,,,0,9,9,10,,,,,,space,4.59522733802,1,1,5.15576419607,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'HALF', 'TIMES', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,2,TIMES,triple,0,UUBxy,,,,,0,10,10,9,,,,,,space,14.4046795717,9,1,5.22034960659,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,2,9,0,SUBTRACT,0,BUxy,,,,,0,11,11,0,,,,,,space,4.26575771812,5,0,2.31005434587,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(4, 2, 6, 7)",7,7,2,2,half,increase,ADD,UUUBxy,,,,,0,12,12,17,,,,,,space,5.60349277558,1,0,6.32609107241,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'HALF', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,SUBTRACT,third,half,UUBUxy,,,,,0,13,13,15,,,,,,space,10.5960287544,2,0,6.19840339664,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",TIMES,3,"(1, 4, 8)",8,8,4,3,third,double,0,UBUxy,,,,,0,14,14,6,,,,,,space,17.9879308094,3,0,4.82269240206,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'THIRD', 'x', 'y')",third,2,"(1, 4)",4,4,4,3,0,TIMES,0,BUxy,,,,,0,15,15,1,,,,,,space,3.07443163311,4,1,1.64070964197,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'TIMES', 'x', 'y')",TIMES,2,"(8, 9)",9,9,4,2,0,increase,0,UBxy,,,,,0,16,16,2,,,,,,space,3.04578782199,9,1,2.19892659201,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",SUBTRACT,4,"(3, 4, 1, 3)",3,3,3,6,increase,triple,half,UBUUxy,,,,,0,17,17,13,,,,,,space,15.4145891377,3,1,6.64415783214,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(2, 1)",1,1,4,8,0,decrease,0,UBxy,,,,,0,0,0,2,,,,,,space,5.54077022069,1,1,5.02847337874,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'DOUBLE', 'INCREASE', 'TIMES', 'x', 'y')",double,4,"(8, 9, 18, 6)",6,6,4,2,increase,third,TIMES,UUUBxy,,,,,0,1,1,17,,,,,,space,19.5553017543,None,0,,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'ADD', 'x', 'y')",ADD,2,"(5, 6)",6,6,2,3,0,increase,0,UBxy,,,,,0,2,2,3,,,,,,space,2.9763666162,6,1,2.02450794261,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'x', 'y')",decrease,2,"(5, 3)",3,3,2,6,0,SUBTRACT,0,BUxy,,,,,0,3,3,1,,,,,,space,5.79712512007,3,1,3.31498008186,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'HALF', 'THIRD', 'x', 'y')",half,3,"(2, 1, 9)",9,9,8,6,third,ADD,0,BUUxy,,,,,0,4,4,4,,,,,,space,6.3889910588,9,1,5.23877308401,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(18, 2, 3, 1)",1,1,9,9,DIVIDE,third,double,UUBUxy,,,,,0,5,5,15,,,,,,space,4.3549567603,3,0,0.629625598551,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'TRIPLE', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 18, 17, 8)",8,8,9,3,triple,SUBTRACT,double,BUUUxy,,,,,0,6,6,11,,,,,,space,1.05725472549,4,0,0.980514733237,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 1)",1,1,3,3,ADD,third,0,UUBxy,,,,,0,7,7,9,,,,,,space,6.27478502621,1,1,2.07355462457,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'DECREASE', 'x', 'y')",double,4,"(5, 12, 24, 8)",8,8,7,6,ADD,third,decrease,UUBUxy,,,,,0,8,8,14,,,,,,space,1.25366368017,2,0,1.54466846387,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')",decrease,3,"(9, 8, 4)",4,4,2,3,triple,DIVIDE,0,BUUxy,,,,,0,9,9,5,,,,,,space,7.31379370566,4,1,4.42036493495,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'TIMES', 'DOUBLE', 'DECREASE', 'x', 'y')",TIMES,4,"(1, 2, 6, 2)",2,2,3,2,double,third,decrease,UBUUxy,,,,,0,10,10,13,,,,,,space,0.919431057409,7,0,0.417985183303,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'INCREASE', 'x', 'y')",increase,2,"(4, 2)",2,2,2,3,0,DIVIDE,0,BUxy,,,,,0,11,11,0,,,,,,space,3.49394300696,2,1,1.69616555516,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'THIRD', 'x', 'y')",double,4,"(2, 1, 2, 8)",8,8,6,6,decrease,ADD,third,BUUUxy,,,,,0,12,12,10,,,,,,space,0.948679955211,1,0,0.262660891283,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'HALF', 'x', 'y')",SUBTRACT,3,"(4, 2, 3)",3,3,2,8,half,increase,0,UBUxy,,,,,0,13,13,7,,,,,,space,4.60931266821,3,1,3.76536453422,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'ADD', 'INCREASE', 'THIRD', 'x', 'y')",ADD,4,"(1, 2, 4, 8)",8,8,2,3,increase,double,third,UBUUxy,,,,,0,14,14,12,,,,,,space,0.599429699592,5,0,0.263200534973,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'DIVIDE', 'x', 'y')",triple,4,"(3, 4, 12, 6)",6,6,3,9,increase,half,DIVIDE,UUUBxy,,,,,0,15,15,16,,,,,,space,1.33138986945,3,0,0.311415003845,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 7)",7,7,3,6,DIVIDE,increase,0,UUBxy,,,,,0,16,16,8,,,,,,space,7.81035898905,7,1,2.16501933022,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('HALF', 'ADD', 'TRIPLE', 'x', 'y')",ADD,3,"(9, 12, 6)",6,6,3,3,triple,half,0,UBUxy,,,,,0,17,17,6,,,,,,space,3.84826388361,6,1,2.50374688406,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",increase,3,"(4, 5, 3)",3,3,2,8,half,SUBTRACT,0,BUUxy,,,,,0,0,0,5,,,,,,space,3.70531290059,3,1,3.41377197288,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'THIRD', 'DOUBLE', 'ADD', 'x', 'y')",third,4,"(9, 18, 6, 5)",5,5,4,5,double,decrease,ADD,UUUBxy,,,,,0,1,1,16,,,,,,space,0.594349629595,5,1,0.337659465265,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'TIMES', 'x', 'y')",increase,4,"(28, 14, 15, 5)",5,5,4,7,half,third,TIMES,UUUBxy,,,,,0,2,2,17,,,,,,space,1.42976390419,3,0,0.692094429978,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,3,ADD,triple,0,UUBxy,,,,,0,3,3,8,,,,,,space,6.78871094796,9,1,5.50865757163,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(1, 2, 6)",6,6,2,3,SUBTRACT,triple,0,UUBxy,,,,,0,4,4,9,,,,,,space,3.21875377302,1,0,11.0825787829,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(6, 18, 9)",9,9,2,7,decrease,DIVIDE,0,BUUxy,,,,,0,5,5,4,,,,,,space,11.0238377625,9,1,4.71209589276,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('HALF', 'SUBTRACT', 'DECREASE', 'TRIPLE', 'x', 'y')",SUBTRACT,4,"(15, 14, 10, 5)",5,5,4,5,decrease,half,triple,UBUUxy,,,,,0,6,6,12,,,,,,space,0.802261534031,6,0,0.025776210241,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('HALF', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(8, 16, 8)",8,8,2,9,decrease,half,0,UBUxy,,,,,0,7,7,6,,,,,,space,4.86599443341,8,1,7.1240680035,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'THIRD', 'x', 'y')",half,4,"(1, 2, 1, 9)",9,9,9,3,increase,TIMES,third,BUUUxy,,,,,0,8,8,11,,,,,,space,1.04400895769,7,0,0.564105785568,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'HALF', 'x', 'y')",half,2,"(2, 7)",7,7,5,4,0,ADD,0,BUxy,,,,,0,9,9,0,,,,,,space,4.37001883856,7,1,1.8328472923,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'TIMES', 'TRIPLE', 'HALF', 'x', 'y')",TIMES,4,"(1, 3, 6, 7)",7,7,2,2,triple,increase,half,UBUUxy,,,,,0,10,10,13,,,,,,space,0.820914237644,3,0,0.311796814087,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(16, 2, 3, 9)",9,9,8,8,DIVIDE,triple,double,UUBUxy,,,,,0,11,11,15,,,,,,space,0.884448007913,5,0,0.240723080467,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'TRIPLE', 'x', 'y')",double,4,"(9, 10, 20, 5)",5,5,4,3,increase,DIVIDE,triple,BUUUxy,,,,,0,12,12,10,,,,,,space,0.539134141407,7,0,1.07769434259,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'x', 'y')",triple,2,"(12, 9)",9,9,3,4,0,SUBTRACT,0,BUxy,,,,,0,13,13,1,,,,,,space,7.25083177572,9,1,3.47948251606,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(4, 5)",5,5,2,8,0,increase,0,UBxy,,,,,0,14,14,3,,,,,,space,3.01267812704,5,1,3.54030721891,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'x', 'y')",DIVIDE,3,"(6, 2, 3)",3,3,3,2,triple,increase,0,UBUxy,,,,,0,15,15,7,,,,,,space,6.11746244284,4,0,4.18087092612,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",double,4,"(5, 1, 2, 6)",6,6,4,4,SUBTRACT,triple,increase,UUBUxy,,,,,0,16,16,14,,,,,,space,1.25141306501,2,0,0.00359412492253,2017_Apr_21_0921,None,KRITL,001,31042,
