operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_encoding.rt,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('TRIPLE', 'HALF', 'TIMES', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,2,TIMES,triple,0,UUBxy,,,,,0,4,4,9,,,,,,space,9,1,11.0768237144,4.3870236096,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(12, 4, 3, 1)",1,1,3,6,third,DIVIDE,double,BUUUxy,,,,,0,5,5,10,,,,,,None,None,0,,,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(4, 2, 1)",1,1,2,8,DIVIDE,decrease,0,UUBxy,,,,,0,6,6,8,,,,,,space,1,1,10.2167844698,3.61423485493,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'HALF', 'TIMES', 'TRIPLE', 'x', 'y')",half,4,"(6, 12, 6, 7)",7,7,2,2,TIMES,increase,triple,UUBUxy,,,,,0,7,7,14,,,,,,space,1,0,0.102281018859,3.7097689514,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'HALF', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,SUBTRACT,third,half,UUBUxy,,,,,0,8,8,15,,,,,,space,1,1,14.3097410945,13.6675365563,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 2, 1)",1,1,9,3,triple,decrease,double,UBUUxy,,,,,0,9,9,12,,,,,,space,1,1,11.1583218749,4.86261986638,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(8, 16, 7)",7,7,9,9,decrease,SUBTRACT,0,BUUxy,,,,,0,10,10,5,,,,,,space,7,1,15.5704276294,12.6118628106,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",TIMES,3,"(1, 4, 8)",8,8,4,3,third,double,0,UBUxy,,,,,0,11,11,6,,,,,,space,8,1,16.464893711,15.0125692443,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'ADD', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,2,triple,decrease,ADD,UUUBxy,,,,,0,12,12,16,,,,,,space,5,1,14.1022635209,7.74899832043,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'DIVIDE', 'HALF', 'x', 'y')",DIVIDE,3,"(2, 1, 2)",2,2,2,4,half,increase,0,UBUxy,,,,,0,13,13,7,,,,,,space,2,1,9.52203064901,3.85936626745,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",SUBTRACT,4,"(3, 4, 1, 3)",3,3,3,6,increase,triple,half,UBUUxy,,,,,0,14,14,13,,,,,,space,3,1,17.316448471,9.04461283865,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(2, 6)",6,6,6,8,0,triple,0,UBxy,,,,,0,15,15,3,,,,,,space,6,1,2.54706274928,1.98732891656,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'TIMES', 'x', 'y')",TIMES,2,"(8, 9)",9,9,4,2,0,increase,0,UBxy,,,,,0,16,16,2,,,,,,space,9,1,2.8488100057,1.65286053903,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'THIRD', 'x', 'y')",third,2,"(1, 4)",4,4,4,3,0,TIMES,0,BUxy,,,,,0,17,17,1,,,,,,space,4,1,2.99666415993,1.69874444045,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'TRIPLE', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 18, 17, 8)",8,8,9,3,triple,SUBTRACT,double,BUUUxy,,,,,0,0,0,11,,,,,,space,8,1,14.6138432471,5.94044552301,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'x', 'y')",decrease,2,"(5, 3)",3,3,2,6,0,SUBTRACT,0,BUxy,,,,,0,1,1,1,,,,,,space,3,1,2.6955692328,1.76387206628,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(2, 1)",1,1,4,8,0,decrease,0,UBxy,,,,,0,2,2,2,,,,,,space,1,1,3.52641952573,1.39911900507,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'DIVIDE', 'x', 'y')",triple,4,"(3, 4, 12, 6)",6,6,3,9,increase,half,DIVIDE,UUUBxy,,,,,0,3,3,16,,,,,,space,6,1,13.4391210908,7.80987950438,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')",decrease,3,"(9, 8, 4)",4,4,2,3,triple,DIVIDE,0,BUUxy,,,,,0,4,4,5,,,,,,space,4,1,4.21007954283,4.08198425802,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(18, 2, 3, 1)",1,1,9,9,DIVIDE,third,double,UUBUxy,,,,,0,5,5,15,,,,,,None,None,0,,,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 7)",7,7,3,6,DIVIDE,increase,0,UUBxy,,,,,0,6,6,8,,,,,,space,7,1,5.32089019218,4.24420716241,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'ADD', 'INCREASE', 'THIRD', 'x', 'y')",ADD,4,"(1, 2, 4, 8)",8,8,2,3,increase,double,third,UBUUxy,,,,,0,7,7,12,,,,,,space,8,1,10.1795019407,8.3237332853,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'ADD', 'x', 'y')",ADD,2,"(5, 6)",6,6,2,3,0,increase,0,UBxy,,,,,0,8,8,3,,,,,,space,6,1,2.56357466849,2.55231498298,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'ADD', 'TRIPLE', 'x', 'y')",ADD,3,"(9, 12, 6)",6,6,3,3,triple,half,0,UBUxy,,,,,0,9,9,6,,,,,,space,6,1,10.4180281656,11.0384601522,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'DOUBLE', 'INCREASE', 'TIMES', 'x', 'y')",double,4,"(8, 9, 18, 6)",6,6,4,2,increase,third,TIMES,UUUBxy,,,,,0,10,10,17,,,,,,space,6,1,11.2410274053,12.7678378385,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'THIRD', 'x', 'y')",double,4,"(2, 1, 2, 8)",8,8,6,6,decrease,ADD,third,BUUUxy,,,,,0,11,11,10,,,,,,space,8,1,16.6140486747,8.22668385226,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'TIMES', 'DOUBLE', 'DECREASE', 'x', 'y')",TIMES,4,"(1, 2, 6, 2)",2,2,3,2,double,third,decrease,UBUUxy,,,,,0,12,12,13,,,,,,None,None,0,,,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 1)",1,1,3,3,ADD,third,0,UUBxy,,,,,0,13,13,9,,,,,,space,1,1,4.04148767563,1.84419750329,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'DECREASE', 'x', 'y')",double,4,"(5, 12, 24, 8)",8,8,7,6,ADD,third,decrease,UUBUxy,,,,,0,14,14,14,,,,,,space,8,1,14.1932873039,6.45318712387,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'HALF', 'THIRD', 'x', 'y')",half,3,"(2, 1, 9)",9,9,8,6,third,ADD,0,BUUxy,,,,,0,15,15,4,,,,,,space,9,1,5.07496506511,1.39720541146,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'HALF', 'x', 'y')",SUBTRACT,3,"(4, 2, 3)",3,3,2,8,half,increase,0,UBUxy,,,,,0,16,16,7,,,,,,space,3,1,3.31745181279,3.62099017622,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'INCREASE', 'x', 'y')",increase,2,"(4, 2)",2,2,2,3,0,DIVIDE,0,BUxy,,,,,0,17,17,0,,,,,,space,2,1,4.55117515568,1.47401582752,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(4, 3, 9)",9,9,3,8,half,TIMES,0,BUUxy,,,,,0,0,0,4,,,,,,space,1,0,6.29733003303,4.11960345064,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",SUBTRACT,4,"(2, 4, 1, 3)",3,3,3,3,double,triple,decrease,UBUUxy,,,,,0,1,1,13,,,,,,space,3,1,14.5585310126,7.10885016061,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(2, 1, 3)",3,3,2,4,DIVIDE,triple,0,UUBxy,,,,,0,2,2,9,,,,,,space,3,1,4.83102562395,4.83872619341,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'TIMES', 'x', 'y')",decrease,4,"(6, 3, 2, 6)",6,6,2,3,half,triple,TIMES,UUUBxy,,,,,0,3,3,17,,,,,,space,6,1,18.7563912731,9.58766362048,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'DECREASE', 'x', 'y')",decrease,2,"(2, 4)",4,4,2,3,0,TIMES,0,BUxy,,,,,0,4,4,0,,,,,,space,4,1,2.14861917146,1.42720592581,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'INCREASE', 'x', 'y')",increase,2,"(3, 6)",6,6,2,2,0,TIMES,0,BUxy,,,,,0,5,5,1,,,,,,space,6,1,1.44469843921,1.44455705443,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'ADD', 'INCREASE', 'x', 'y')",ADD,3,"(8, 15, 5)",5,5,7,7,increase,third,0,UBUxy,,,,,0,6,6,6,,,,,,space,5,1,3.6175738445,3.61853064131,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(3, 15, 5)",5,5,5,4,decrease,third,0,UBUxy,,,,,0,7,7,7,,,,,,space,5,1,6.45472450787,4.72020202619,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'INCREASE', 'x', 'y')",double,4,"(10, 12, 24, 8)",8,8,2,9,ADD,third,increase,UUBUxy,,,,,0,8,8,14,,,,,,space,8,1,6.01876427629,5.63893484091,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'THIRD', 'HALF', 'x', 'y')",third,3,"(3, 1, 5)",5,5,5,6,half,TIMES,0,BUUxy,,,,,0,9,9,5,,,,,,space,5,1,4.75841510505,1.8734875943,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 3, 4)",4,4,6,3,triple,increase,double,UBUUxy,,,,,0,10,10,12,,,,,,space,4,1,4.85454413737,2.56386478711,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 1)",1,1,2,5,0,third,0,UBxy,,,,,0,11,11,3,,,,,,space,1,1,2.08491204213,1.44410280348,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'DECREASE', 'x', 'y')",half,4,"(1, 4, 2, 6)",6,6,3,2,ADD,triple,decrease,UUBUxy,,,,,0,12,12,15,,,,,,space,6,1,8.1302598014,6.29053411586,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'x', 'y')",decrease,3,"(25, 24, 8)",8,8,5,5,TIMES,third,0,UUBxy,,,,,0,13,13,8,,,,,,space,8,1,8.22362728161,4.17442538822,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'HALF', 'INCREASE', 'TRIPLE', 'x', 'y')",half,4,"(15, 16, 8, 3)",3,3,5,5,increase,SUBTRACT,triple,BUUUxy,,,,,0,14,14,10,,,,,,space,3,1,12.5517018489,6.35505455732,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'ADD', 'x', 'y')",ADD,2,"(9, 3)",3,3,5,4,0,third,0,UBxy,,,,,0,15,15,2,,,,,,space,3,1,1.66989460168,1.61156079313,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'INCREASE', 'THIRD', 'DOUBLE', 'x', 'y')",increase,4,"(6, 2, 3, 9)",9,9,3,3,third,TIMES,double,BUUUxy,,,,,0,16,16,11,,,,,,space,8,0,12.866954149,6.73953149142,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'DIVIDE', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,half,third,DIVIDE,UUUBxy,,,,,0,17,17,16,,,,,,space,3,0,13.9051073841,7.89677933231,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'INCREASE', 'ADD', 'DOUBLE', 'x', 'y')",increase,4,"(16, 20, 21, 7)",7,7,4,8,ADD,third,double,UUBUxy,,,,,0,0,0,14,,,,,,space,7,1,13.7775972362,7.38189491257,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'ADD', 'TRIPLE', 'x', 'y')",ADD,3,"(6, 8, 9)",9,9,2,2,triple,increase,0,UBUxy,,,,,0,1,1,6,,,,,,space,None,0,4.30430128099,,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(4, 12, 4)",4,4,3,8,half,DIVIDE,0,BUUxy,,,,,0,2,2,4,,,,,,space,4,1,7.09616682841,6.46604158729,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')",double,4,"(2, 3, 6, 2)",2,2,3,6,increase,DIVIDE,third,BUUUxy,,,,,0,3,3,10,,,,,,space,None,0,19.1232472579,,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'INCREASE', 'x', 'y')",TIMES,4,"(8, 4, 12, 4)",4,4,3,7,half,third,increase,UBUUxy,,,,,0,4,4,13,,,,,,space,4,1,15.5434808857,9.16929389164,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'SUBTRACT', 'x', 'y')",decrease,4,"(4, 2, 1, 3)",3,3,5,9,half,triple,SUBTRACT,UUUBxy,,,,,0,5,5,17,,,,,,space,3,1,14.4645972932,7.14122586884,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(2, 3, 1)",1,1,6,8,SUBTRACT,third,0,UUBxy,,,,,0,6,6,9,,,,,,space,1,1,4.77487522969,2.8323278334,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",DIVIDE,4,"(2, 6, 2, 3)",3,3,3,4,triple,increase,half,UBUUxy,,,,,0,7,7,12,,,,,,space,3,1,9.47998338379,8.75223792112,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'THIRD', 'DOUBLE', 'x', 'y')",third,3,"(6, 2, 4)",4,4,2,3,double,TIMES,0,BUUxy,,,,,0,8,8,5,,,,,,space,4,1,8.05338604236,3.80924117332,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'THIRD', 'x', 'y')",third,2,"(1, 7)",7,7,6,3,0,ADD,0,BUxy,,,,,0,9,9,0,,,,,,space,7,1,2.23204422393,1.57060191059,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'DECREASE', 'x', 'y')",double,4,"(4, 1, 2, 6)",6,6,3,5,SUBTRACT,triple,decrease,UUBUxy,,,,,0,10,10,15,,,,,,space,6,1,11.3274757816,3.41953370348,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,2,4,half,decrease,ADD,UUUBxy,,,,,0,11,11,16,,,,,,space,8,1,12.5163980066,6.36802695831,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 5)",5,5,4,8,DIVIDE,decrease,0,UUBxy,,,,,0,12,12,8,,,,,,space,5,1,5.3827743677,5.92386676092,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'THIRD', 'x', 'y')",SUBTRACT,3,"(3, 1, 2)",2,2,2,9,third,increase,0,UBUxy,,,,,0,13,13,7,,,,,,space,2,1,12.3917704974,4.48219199572,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'x', 'y')",increase,2,"(6, 2)",2,2,4,5,0,SUBTRACT,0,BUxy,,,,,0,14,14,1,,,,,,space,2,1,2.96117903665,1.7946040018,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'ADD', 'x', 'y')",ADD,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,15,15,2,,,,,,space,8,1,1.67073836108,2.56552570802,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'INCREASE', 'HALF', 'TRIPLE', 'x', 'y')",increase,4,"(6, 3, 4, 8)",8,8,2,2,half,TIMES,triple,BUUUxy,,,,,0,16,16,11,,,,,,space,8,1,13.1233340483,6.23070001905,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'TIMES', 'x', 'y')",TIMES,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,17,17,3,,,,,,space,8,1,1.77910802327,1.5578401871,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'SUBTRACT', 'DOUBLE', 'THIRD', 'x', 'y')",SUBTRACT,4,"(3, 6, 4, 3)",3,3,2,9,double,decrease,third,UBUUxy,,,,,0,0,0,13,,,,,,space,3,1,15.1815562192,5.43996065017,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(1, 2, 7)",7,7,5,2,decrease,ADD,0,BUUxy,,,,,0,1,1,4,,,,,,space,7,1,2.54657280212,3.79722556937,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'INCREASE', 'TIMES', 'x', 'y')",increase,3,"(9, 10, 5)",5,5,3,3,TIMES,half,0,UUBxy,,,,,0,2,2,9,,,,,,space,5,1,7.26999413106,3.60171530512,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(18, 6, 5, 9)",9,9,4,9,third,ADD,double,BUUUxy,,,,,0,3,3,10,,,,,,space,9,1,17.8118742893,11.8179636325,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'DECREASE', 'x', 'y')",decrease,2,"(2, 7)",7,7,5,3,0,ADD,0,BUxy,,,,,0,4,4,0,,,,,,space,7,1,3.71264424128,1.46228929213,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",SUBTRACT,3,"(4, 1, 2)",2,2,3,3,increase,double,0,UBUxy,,,,,0,5,5,6,,,,,,space,2,1,9.93462075107,3.65427753609,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'DECREASE', 'x', 'y')",decrease,2,"(8, 2)",2,2,4,9,0,DIVIDE,0,BUxy,,,,,0,6,6,1,,,,,,space,2,1,3.21854687971,1.8897244432,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'HALF', 'THIRD', 'TIMES', 'x', 'y')",half,4,"(12, 4, 2, 3)",3,3,4,3,third,increase,TIMES,UUUBxy,,,,,0,7,7,16,,,,,,space,3,1,11.4752546938,2.42602060363,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'ADD', 'THIRD', 'HALF', 'x', 'y')",ADD,4,"(3, 1, 7, 6)",6,6,6,6,third,decrease,half,UBUUxy,,,,,0,8,8,12,,,,,,space,6,1,3.90261320304,3.41239762283,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'HALF', 'INCREASE', 'SUBTRACT', 'x', 'y')",half,4,"(5, 6, 3, 1)",1,1,2,7,increase,third,SUBTRACT,UUUBxy,,,,,0,9,9,17,,,,,,space,1,1,6.24371231557,3.28548801015,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",double,4,"(1, 3, 6, 5)",5,5,3,3,TIMES,decrease,third,UUBUxy,,,,,0,10,10,14,,,,,,space,5,1,15.2035733946,12.9490909907,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'ADD', 'x', 'y')",ADD,2,"(12, 6)",6,6,8,4,0,half,0,UBxy,,,,,0,11,11,3,,,,,,space,6,1,1.47069888515,1.86146744085,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'x', 'y')",ADD,3,"(1, 4, 5)",5,5,3,2,half,increase,0,UBUxy,,,,,0,12,12,7,,,,,,space,5,1,3.29387380579,3.77545371721,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'TRIPLE', 'DOUBLE', 'DECREASE', 'x', 'y')",triple,4,"(1, 2, 6, 8)",8,8,2,2,double,ADD,decrease,BUUUxy,,,,,0,13,13,11,,,,,,space,8,1,6.91628307896,2.27907670173,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'TIMES', 'x', 'y')",TIMES,2,"(9, 8)",8,8,3,3,0,decrease,0,UBxy,,,,,0,14,14,2,,,,,,space,8,1,1.82873722073,1.31242565485,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'TRIPLE', 'SUBTRACT', 'DOUBLE', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,3,3,SUBTRACT,decrease,double,UUBUxy,,,,,0,15,15,15,,,,,,space,8,1,13.6979493261,4.46930148592,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'THIRD', 'ADD', 'x', 'y')",third,3,"(9, 3, 6)",6,6,4,5,ADD,double,0,UUBxy,,,,,0,16,16,8,,,,,,space,6,1,3.36224068236,2.83357229922,2017_Apr_28_0915,None,KRITL,001,31047,
