operationc	operationb	operationa	correctresponse	valuey	operationd	condition	valuex	Rule	Operatora	Length	Intermediate	CorrectResponse	Result	Y	X	Operatorc	Operatorb	Operatord	Structure	practice_trials.thisRepN	practice_trials.thisTrialN	practice_trials.thisN	practice_trials.thisIndex	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	practice_encoding.keys	practice_encoding.rt	practice_execution.keys	practice_execution.corr	practice_execution.rt	encoding.keys	encoding.rt	execution.keys	execution.corr	execution.rt	date	frameRate	expName	session	participant	X.1	LogEncoding	EncodingSpeed	LogExecution	ExecutionSpeed	Chunks	Offset
25				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	13	13	4			NA	NA	NA	space	1.26089532557	6	1	2.54832033277	2015_Jul_10_1353	None	KRITL	1	31018	NA	0.231822044473105	0.793087245008177	0.935434449105397	0.392415343997593	Chunks = 2	3rd
26				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	13	13	4			NA	NA	NA	space	1.81682211461	6	1	4.31526075254	2015_Jul_21_1534	None	KRITL	1	31027	NA	0.597088884021568	0.550411618153746	1.46215775203522	0.231735706680388	Chunks = 2	3rd
27				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	14	14	4			NA	NA	NA	space	2.15578519383	6	1	3.34644109887	2015_Jul_08_1337	None	KRITL	1	31009	NA	0.768155016278906	0.463868108409904	1.20789742258789	0.298824921896182	Chunks = 2	3rd
29				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	0	0	10				NA	NA	space	6.96894841606	9	1	9.3015638372	2015_Jul_16_1335	360.287380426	KRITL	1	31025	NA	1.9414643405148	0.143493672258427	2.23018254056046	0.107508803627265	Chunks = 2	4th
31				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	1	1	10			NA	NA	NA	space	2.61655453671	9	1	3.34986362017	2015_Jul_07_1404	60.0082342211	KRITL	1	31004	NA	0.961858389995286	0.382181982439158	1.20891963461127	0.298519615538632	Chunks = 2	4th
32				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	2	2	10			NA	NA	NA	space	2.29329004517	9	1	3.78287215729	2015_Jul_14_1533	283.057880698	KRITL	1	31021	NA	0.829987487446379	0.436054742445747	1.33048355107775	0.264349403950354	Chunks = 2	4th
34				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	3	3	10			NA	NA	NA	space	5.73625619477	9	1	6.59517206069	2015_Jul_07_1404	None	KRITL	1	31003	NA	1.74680676666008	0.174329731107851	1.88633787539529	0.151626066886173	Chunks = 2	4th
35				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	4	4	10			NA	NA	NA	space	4.91342918366	9	1	4.91696031519	2015_Jul_10_1353	None	KRITL	1	31018	NA	1.5919721061104	0.203523845082693	1.59269051745763	0.203377683751218	Chunks = 2	4th
38				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	5	5	10			NA	NA	NA	space	3.13317521874	9	1	8.9493500614	2015_Jul_07_1543	60.0017041557	KRITL	1	31006	NA	1.14204693723034	0.319165041909832	2.1915809108119	0.111739958001326	Chunks = 2	4th
39				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	7	7	10			NA	NA	NA	space	3.40022558646	9	1	7.07683413236	2015_Jul_21_1534	None	KRITL	1	31027	NA	1.22384177837994	0.294098133953844	1.95682665125504	0.141306123797269	Chunks = 2	4th
41				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	11	11	10				NA	NA	space	3.09383328009	9	1	9.30458335069	2015_Jul_09_1534	None	KRITL	1	31015	NA	1.12941086578953	0.323223622434791	2.23050711216424	0.107473914984688	Chunks = 2	4th
42				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	12	12	10				NA	NA	space	3.52410076009	9	1	6.4146535309	2015_Jul_16_1335	None	KRITL	1	31024	NA	1.25962530019923	0.28376033152198	1.85858498739627	0.155893065024152	Chunks = 2	4th
43				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	12	12	10				NA	NA	space	5.91703205771	9	1	5.12725652079	2015_Jul_09_1334	None	KRITL	1	31014	NA	1.77783498157915	0.169003647478465	1.63457072486182	0.195036077470515	Chunks = 2	4th
44				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	13	13	10			NA	NA	NA	space	3.26842432501	9	1	3.01619950638	2015_Jul_08_1336	357.524927026	KRITL	1	31010	NA	1.18430801098328	0.305957825716812	1.10399759728818	0.331543055386341	Chunks = 2	4th
47				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	14	14	10			NA	NA	NA	space	2.14992849939	9	1	4.6663928006	2015_Jul_08_1336	60.0051538288	KRITL	1	31008	NA	0.765434585488901	0.465131747536595	1.54038635363937	0.21429829050641	Chunks = 2	4th
48				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	14	14	10			NA	NA	NA	space	2.30777145833	9	1	6.51874178964	2015_Jul_07_1404	360.230878236	KRITL	1	31002	NA	0.836282322222101	0.433318471112231	1.87468138026702	0.153403836548529	Chunks = 2	4th
49				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	14	14	10			NA	NA	NA	space	2.89142557974	9	1	6.19166589966	2015_Jul_22_1134	281.773905697	KRITL	1	31028	NA	1.06174966068852	0.345850160214022	1.82320417805845	0.161507422429707	Chunks = 2	4th
50				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	14	14	10			NA	NA	NA	space	3.50299061293	9	1	5.45189839439	2015_Jul_13_1550	287.784491609	KRITL	1	31019	NA	1.25361706448866	0.285470362469391	1.69596387726848	0.183422347164246	Chunks = 2	4th
51				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	15	15	10				NA	NA	space	4.62612386397	9	1	4.62110153804	2015_Jul_16_1551	None	KRITL	1	31026	NA	1.53171933906039	0.216163688955321	1.53063310482136	0.216398620927975	Chunks = 2	4th
52				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	15	15	10			NA	NA	NA	space	1.35360835097	9	1	6.53641632495	2015_Jul_08_1337	None	KRITL	1	31009	NA	0.302773879302623	0.738766127797155	1.87738905273689	0.152989031035695	Chunks = 2	4th
54				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	16	16	10			NA	NA	NA	space	3.14269166013	9	1	8.91552791467	2015_Jul_08_1558	None	KRITL	1	31013	NA	1.14507964932175	0.318198572480583	2.18779446601393	0.112163857213049	Chunks = 2	4th
55				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	16	16	10			NA	NA	NA	space	10.4390982944	9	1	7.52356424043	2015_Jul_14_1534	340.004537469	KRITL	1	31022	NA	2.34555820845617	0.0957937143418263	2.01803999381661	0.132915725584719	Chunks = 2	4th
56				NA	NA		NA	NA	('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(18, 6, 5, 9)	9	9	4	9	third	ADD	double	BUUUxy	NA	NA	NA	NA	0	17	17	10				NA	NA	space	6.48380252189	9	1	6.98091900788	2015_Jul_08_1553	None	KRITL	1	31011	NA	1.86930714719279	0.15423048382857	1.94318057112752	0.143247615231062	Chunks = 2	4th
58				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	1	1	0				NA	NA	space	3.71639729394	7	1	2.34263384616	2015_Jul_07_1549	287.31282802	KRITL	1	31005	NA	1.31275472964462	0.269077797906755	0.85127587166674	0.426869953082587	Chunks = 2	2nd
59				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	2	2	0				NA	NA	space	1.06267964	7	1	1.73904049448	2015_Jul_07_1543	None	KRITL	1	31007	NA	0.0607936804663924	0.941017370013789	0.553333521173485	0.575029738050473	Chunks = 2	2nd
60				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	2	2	0			NA	NA	NA	space	1.46139080387	7	1	2.52867163311	2015_Jul_21_1534	None	KRITL	1	31027	NA	0.379388587670085	0.684279658358214	0.927694118652825	0.395464554158068	Chunks = 2	2nd
61				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	2	2	0			NA	NA	NA	space	1.71778594904	7	1	2.76684767944	2015_Jul_10_1353	None	KRITL	1	31018	NA	0.541036222691432	0.582144708168593	1.01770865029785	0.361422136618087	Chunks = 2	2nd
62				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	2	2	0			NA	NA	NA	space	1.89075259997	7	1	3.28527273179	2015_Jul_15_1558	None	KRITL	1	31023	NA	0.636974950852884	0.528889924581284	1.18944967186628	0.304388731664036	Chunks = 2	2nd
63				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	3	3	0			NA	NA	NA	space	0.916706161093	7	1	3.41652873559	2015_Jul_07_1543	60.0017041557	KRITL	1	31006	NA	-0.0869682930890271	1.09086209130272	1.22862504603019	0.292694742936886	Chunks = 2	2nd
64				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	3	3	0			NA	NA	NA	space	2.33325303276	7	1	1.88331902408	2015_Jul_08_1336	60.0051538288	KRITL	1	31008	NA	0.847263445263582	0.428586178163927	0.633035658627748	0.53097748560603	Chunks = 2	2nd
65				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	4	4	0				NA	NA	space	1.4447148875	7	1	1.58520548558	2015_Jul_09_1534	None	KRITL	1	31015	NA	0.367911992407697	0.692178095935901	0.460714042825254	0.630833042843097	Chunks = 2	2nd
66				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	5	5	0				NA	NA	space	1.00053719393	7	1	1.98804384761	2015_Jul_16_1551	None	KRITL	1	31026	NA	0.000537049692994038	0.99946309449238	0.687151164133	0.503007014257853	Chunks = 2	2nd
67				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	7	7	0			NA	NA	NA	space	0.65150846506	7	1	1.47440384596	2015_Jul_13_1550	287.784491609	KRITL	1	31019	NA	-0.42846488931669	1.53489947349787	0.388253735861664	0.678240227560509	Chunks = 2	2nd
68				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	7	7	0			NA	NA	NA	space	1.15446688137	7	1	3.22680118329	2015_Jul_08_1337	None	KRITL	1	31009	NA	0.143638662843995	0.866200682009435	1.17149130078757	0.309904435754673	Chunks = 2	2nd
69				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	9	9	0			NA	NA	NA	space	0.580758515194	7	1	1.89412731837	2015_Jul_07_1404	None	KRITL	1	31003	NA	-0.543420245030157	1.72188607456914	0.63875821445285	0.527947614873405	Chunks = 2	2nd
70				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	10	10	0				NA	NA	space	1.19014923833	7	1	2.56505962793	2015_Jul_09_1535	360.822427182	KRITL	1	31017	NA	0.174078709621561	0.840230760810455	0.941981725108867	0.389854484906068	Chunks = 2	2nd
71				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	10	10	0				NA	NA	space	1.46132374623	7	1	1.55729039622	2015_Jul_08_1553	None	KRITL	1	31011	NA	0.379342700438292	0.684311058777942	0.442947385557355	0.642140992089396	Chunks = 2	2nd
72				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	11	11	0				NA	NA	space	1.7320662089	7	1	1.63931748722	2015_Jul_09_1334	None	KRITL	1	31014	NA	0.549315036257191	0.577345135458234	0.494279988885599	0.610009963168164	Chunks = 2	2nd
73				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	11	11	0			NA	NA	NA	space	2.38971650778	7	1	2.0529401962	2015_Jul_14_1534	340.004537469	KRITL	1	31022	NA	0.871174742916355	0.41845967785065	0.719273007656349	0.487106249783118	Chunks = 2	2nd
75				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	12	12	0			NA	NA	NA	space	1.14823998115	7	1	1.50848748937	2015_Jul_14_1533	283.057880698	KRITL	1	31021	NA	0.138230318864559	0.870898084386913	0.411107486158657	0.662915673511907	Chunks = 2	2nd
76				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	12	12	0			NA	NA	NA	space	1.46268871221	7	1	3.46068520343	2015_Jul_07_1404	360.230878236	KRITL	1	31002	NA	0.380276325789449	0.683672466774618	1.24146660513657	0.288960116629177	Chunks = 2	2nd
77				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	14	14	0				NA	NA	space	0.917397667567	7	1	1.35007389568	2015_Jul_16_1335	360.287380426	KRITL	1	31025	NA	-0.0862142392607103	1.09003983261922	0.300159328493034	0.740700196633551	Chunks = 2	2nd
79				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	14	14	0			NA	NA	NA	space	0.900041165456	7	1	1.45002297807	2015_Jul_07_1404	60.0082342211	KRITL	1	31004	NA	-0.105314777308285	1.11106029188493	0.371579403251749	0.689644243659513	Chunks = 2	2nd
80				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	15	15	0			NA	NA	NA	space	0.788224843331	7	1	2.08519241042	2015_Jul_08_1336	357.524927026	KRITL	1	31010	NA	-0.237971895647916	1.26867353707611	0.734861134167994	0.479572050522944	Chunks = 2	2nd
81				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	15	15	0			NA	NA	NA	space	0.965448455448	7	1	3.88124794178	2015_Jul_08_1558	None	KRITL	1	31013	NA	-0.035162564920857	1.03578807792071	1.35615673640128	0.257649089931983	Chunks = 2	2nd
82				NA	NA		NA	NA	('ADD', 'DECREASE', 'x', 'y')	decrease	Length = 2	(2, 7)	7	7	5	3	0	ADD	0	BUxy	NA	NA	NA	NA	0	16	16	0			NA	NA	NA	space	0.761345203631	7	1	2.02276442453	2015_Jul_22_1134	281.773905697	KRITL	1	31028	NA	-0.272668405536609	1.313464635005	0.704465102828575	0.494372942233427	Chunks = 2	2nd
